Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
P77626	19731	b1434 JW1430		
P77650	43978	b2542 JW2526	SUBUNIT: This dioxygenase system consists of four proteins: the two subunits of the hydroxylase component (HcaE and HcaF), a ferredoxin (HcaC) and a ferredoxin reductase (HcaD).	
P77690	42238	b2253 JW5372	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q8ZNF3}.	
P77731	18170	b0505 JW0493	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00616, ECO:0000269|Ref.6}.	
P77733	30565	b2492 JW2477		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P77743	58649	b0330 JW0322		
P77747	41220	b1377 JW1371	SUBUNIT: Homotrimer.	SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.
P77757	36339	b2254 JW2248		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P77783	89987	b1588 JW5260	SUBUNIT: The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein. {ECO:0000305}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
P77790	21213	b1488 JW1483		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:9751644}.
P78285	17972	b0555 JW0544		
P80644	21253	b0937 JW0920	SUBUNIT: Homodimer.	
Q2EES9	7678	b4501 JW5387	SUBUNIT: Interacts with TorR. Binds to the effector domain of TorR. This interaction, which does not interfere with TorR DNA binding activity, probably prevents the recruitment of RNA polymerase to the torCAD promoter. Binds to DNA. {ECO:0000269|PubMed:15197250}.	
Q46799	81321	b2866 JW5462	SUBUNIT: Heterotrimer of XdhA, XdhB and XdhC. {ECO:0000305}.	
Q46800	31557	b2867 JW2835	SUBUNIT: Heterotrimer of XdhA, XdhB and XdhC. {ECO:0000305}.	
Q46817	46758	b4464 JW5467		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24214977}; Multi-pass membrane protein {ECO:0000269|PubMed:24214977}.
Q46829	55361	b2901 JW2869	SUBUNIT: Homotetramer. {ECO:0000305|PubMed:22393408}.	
Q46851	38832	b3001 JW2970	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:22393408}.	
Q46868	11276	b3042 JW5505	SUBUNIT: Homotrimer (PubMed:28559279). Component of the Ubi complex metabolon, which regroups five ubiquinone biosynthesis proteins (UbiE, UbiF, UbiG, UbiH and UbiI) and two accessory factors (UbiK and the lipid-binding protein UbiJ) (PubMed:30686758). Interacts with the C-terminal part of UbiJ and forms a complex composed of 2 UbiK subunits and 1 UbiJ subunit. The UbiK-UbiJ complex interacts with palmitoleic acid (PubMed:28559279). {ECO:0000269|PubMed:28559279, ECO:0000269|PubMed:30686758}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02216, ECO:0000269|PubMed:30686758}.
Q46916	49142	b2789 JW2760		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
Q47140	20579	b2539 JW2523	SUBUNIT: This dioxygenase system consists of four proteins: the two subunits of the hydroxylase component (HcaE and HcaF), a ferredoxin (HcaC) and a ferredoxin reductase (HcaD).	
Q47141	32838	b2537 JW2521		
Q47157	15488	b0233 JW0223	SUBUNIT: Probably forms a complex with the antitoxin YafN which inhibits the mRNA interferase activity. {ECO:0000305}.	
Q47537	34266	b0365 JW0357		SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.
Q47690	33423	b0261 JW0253	SUBUNIT: Monomer. {ECO:0000269|PubMed:10026151}.	
A5A618	2998	b4602 JW1649.1		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:19121005, ECO:0000305|PubMed:21778229}; Single-pass membrane protein {ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}. Note=May be able to insert into the membrane in both orientations.
C1P607	2232	b4667 JW2058.1		
C1P615	2209	b4665 JW2879.1		
C1P616	2151	b4664 JW3023.1		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
C1P617	2207	b4666 JW3023.2		
O52982	16735	b2636 JW5921		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:15252048}; Lipid-anchor {ECO:0000305|PubMed:15252048}.
P00960	34774	b3560 JW3531	SUBUNIT: Tetramer of two alpha and two beta subunits.	SUBCELLULAR LOCATION: Cytoplasm.
P03012	20362	ECOK12F009		
P03030	34365	b2839 JW2807		SUBCELLULAR LOCATION: Cytoplasm.
P03825	15876	b3322 JW3284		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}.
P03856	29359	ECOK12F045	SUBUNIT: Monomer and homodimer. {ECO:0000269|PubMed:10469640}.	
P04128	18111	b4314 JW4277		SUBCELLULAR LOCATION: Fimbrium.
P04949	51295	b1923 JW1908		SUBCELLULAR LOCATION: Secreted. Bacterial flagellum.
P05052	28763	b0564 JW0553		
P05827	33204	b3773 JW3746		SUBCELLULAR LOCATION: Cytoplasm.
P05847	32734	b3061 JW3033	SUBUNIT: Tetramer of two alpha and two beta subunits. {ECO:0000305|PubMed:8371115}.	
P06282	28451	b3918 JW3889		SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein.
P06615	29627	ECOK12F044		
P06846	36210	b3075 JW3046		
P06966	15656	b1570 JW1562		
P07000	38978	b3825 JW5584		SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.
P07026	28117	b1916 JW1901		
P07654	32322	b3726 JW3704		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:15919996}.
P08550	17907	b2313 JW2310		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P08555	47163	b2365 JW2362		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305}.
P08997	60274	b4014 JW3974		SUBCELLULAR LOCATION: Cytoplasm.
P09126	27798	b3804 JW3776	SUBUNIT: Monomer.	
P09155	42734	b1804 JW1793		SUBCELLULAR LOCATION: Cytoplasm.
P09163	16447	b4012 JW3972		
P09424	41139	b3600 JW3574	SUBUNIT: Monomer. {ECO:0000269|PubMed:6384188}.	
P09833	39102	b0765 JW0748	SUBUNIT: The complex is composed of two ATP-binding proteins (ModC), two transmembrane proteins (ModB) and a solute-binding protein (ModA). {ECO:0000255|HAMAP-Rule:MF_01705}.	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.
P0A6G3	17582	b2700 JW2670	SUBUNIT: Homodimer. {ECO:0000305|PubMed:21953451}.	
P0A6G5	20270	b0614 JW0606		
P0A6L7	54808	b1521 JW1514		
P0A6P7	23561	b3865 JW5930		
P0A6S0	24615	b1079 JW5153	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of four rings (L,P,S, and M) mounted on a central rod. {ECO:0000250}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Bacterial flagellum basal body {ECO:0000250}.
P0A6W0	33516	b1524 JW1517	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00313, ECO:0000269|PubMed:18459799}.	
P0A6W5	17641	b3181 JW3148		
P0A766	20898	b1627 JW1619	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00459, ECO:0000305|PubMed:12773378}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00459, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00459}.
P0A7A2	24065	b4395 JW4358		
P0A7C6	24570	b4021 JW3981		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00510}.
P0A7H6	21963	b0472 JW0461		
P0A7P5	5380	b3703 JW3680	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:783033}.	
P0A7Q6	4364	b3299 JW3261	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:3298224}.	
P0A823	26229	b0146 JW0142		
P0A843	7024	b0627 JW0622		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00903}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00903}.
P0A867	35659	b2464 JW2448	SUBUNIT: Homodimer. {ECO:0000250}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0A8B5	12015	b0471 JW0460	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00274, ECO:0000269|PubMed:19594923, ECO:0000269|Ref.7}.	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_00274}.
P0A8C8	9381	b4557 JW3682		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00386, ECO:0000269|PubMed:21803992}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00386, ECO:0000269|PubMed:21803992}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00386, ECO:0000269|PubMed:21803992}. Note=Associated with the inner membrane via a putative N-terminal amphipathic helix.
P0A8D0	17229	b0413 JW0403		
P0A8G3	53987	b3092 JW3063		
P0A8I3	29586	b0006 JW0005		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0A8P3	10953	b2962 JW2929	SUBUNIT: Monomer. {ECO:0000305}.	
P0A8R9	31746	b4480 JW5607		
P0A8S5	13027	b3494 JW3461		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0A8U0	20708	b2793 JW2764		SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. Note=Loosely associated with the cytoplasmic side of the inner membrane, probably via SecY.
P0A8W2	16353	b1642 JW5267	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01819}.	
P0A8Z0	14231	b1253 JW1245		
P0A901	19852	b4149 JW4110	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16920109}.	SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor.
P0A915	22928	b1256 JW1248		SUBCELLULAR LOCATION: Cell outer membrane.
P0A917	18603	b0814 JW0799		SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.
P0A930	41910	b2062 JW2047		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P0A932	41741	b0983 JW0966		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P0A9E9	25294	b2163 JW2150	SUBUNIT: Homodimer. {ECO:0000305|PubMed:11101674}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:11101674}.
P0A9F6	34402	b2808 JW2779		SUBCELLULAR LOCATION: Cytoplasm.
P0A9F9	35629	b3828 JW3804		SUBCELLULAR LOCATION: Cytoplasm.
P0A9G2	34284	b0020 JW0019		SUBCELLULAR LOCATION: Cytoplasm.
P0A9I3	20769	b2479 JW2464		SUBCELLULAR LOCATION: Cytoplasm.
P0A9I8	12284	b3366 JW3329	SUBUNIT: Associates with NirB.	SUBCELLULAR LOCATION: Cytoplasm.
P0A9N0	9810	b3206 JW3173		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0A9T4	38500	b2834 JW2802		
P0A9U6	20092	b1299 JW1292		
P0AA57	13410	b1841 JW1830		SUBCELLULAR LOCATION: Periplasm {ECO:0000250}.
P0AA82	43650	b0336 JW0327		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AA99	28021	b0224 JW0214		
P0AAB2	16709	b2061 JW2046		
P0AAB6	32829	b2042 JW2027		
P0AAB8	16293	b3923 JW3894		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P0AAE2	50216	b0402 JW5055		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AAG3	26661	b0652 JW0647	SUBUNIT: The complex is composed of two ATP-binding proteins (GltL), two transmembrane proteins (GltJ and GltK) and a solute-binding protein (GltI). {ECO:0000305|PubMed:9593292}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:9593292}; Peripheral membrane protein {ECO:0000305|PubMed:9593292}.
P0AAI1	27738	b0933 JW0916	SUBUNIT: The complex is composed of two ATP-binding proteins (SsuB), two transmembrane proteins (SsuC) and a solute-binding protein (SsuA). {ECO:0000255|HAMAP-Rule:MF_01724}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01724}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01724}.
P0AAI9	32417	b1092 JW1078		
P0AAJ1	22752	b1589 JW1581	SUBUNIT: The complex consists of three subunits: YnfF, the reductase; YnfG, an electron transfer protein, and YnfH, a membrane anchor protein. {ECO:0000305}.	
P0AAJ8	36003	b2996 JW2964		SUBCELLULAR LOCATION: Periplasm.
P0AAK7	24567	b4072 JW4033		
P0AAP3	10318	b0357 JW0348		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AAR0	14557	b0461 JW0450		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AAS7	7390	b0528 JW5070	SUBUNIT: In pull-down experiments interacts with CedA. {ECO:0000269|PubMed:28818726}.	
P0AAV4	23947	b0711 JW0701	SUBUNIT: Forms a complex composed of PxpA, PxpB and PxpC. {ECO:0000250|UniProtKB:P60495}.	
P0AAX6	8896	b0806 JW5106		SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.
P0AAY6	17666	b0853 JW0837		
P0AB01	28666	b0920 JW0903		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P0AB10	20634	b0952 JW5127	SUBUNIT: May form a complex composed of PqiA, PqiB and PqiC. Interacts with PqiB. {ECO:0000269|PubMed:27795327}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:27795327}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}; Periplasmic side {ECO:0000269|PubMed:27795327}.
P0AB20	11779	b0966 JW5970		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AB28	19315	b1088 JW1074		
P0AB33	9664	b1060 JW5152		
P0AB96	15853	b3503 JW3470		
P0ABC0	13632	b3739 JW5611		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0ABD1	52881	b1801 JW5293		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P0ABE2	11994	b0435 JW5060		
P0ABH4	18788	b3249 JW3218		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0ABL5	23101	b2202 JW2190		SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein.
P0ABL8	23619	b2200 JW2188		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0ABM5	7745	b2198 JW2186		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P0ABP6	24510	b2317 JW2314		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0ABW3	9293	b2236 JW2230		
P0ABW5	18475	b0530 JW0519		SUBCELLULAR LOCATION: Fimbrium {ECO:0000250}.
P0ABW9	15240	b1073 JW1060	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of a number of rings mounted on a central rod. In Gram-negative bacteria, at least four rings, L, P, S and M are present, whereas Gram-positive bacteria lack the L and P rings. The rod consists of about 26 subunits of FlgG in the distal portion, and FlgB, FlgC and FlgF build up the proximal portion of the rod with about 6 subunits each. Rod assembly occurs by export via the flagellum-specific pathway of its constituent proteins and by their incorporation into the rod structure in the probable order of FlgB, FlgC, FlgF and FlgG. Another protein, FliE, also assembles onto the stable rod structure (By similarity). {ECO:0000250}.	SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000250}.
P0ABX2	13968	b1074 JW1061	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of four rings (L,P,S, and M) mounted on a central rod. The rod consists of about 26 subunits of FlgG in the distal portion, and FlgB, FlgC and FlgF are thought to build up the proximal portion of the rod with about 6 subunits each.	SUBCELLULAR LOCATION: Bacterial flagellum basal body.
P0ABX5	27744	b1078 JW1065	SUBUNIT: The basal body constitutes a major portion of the flagellar organelle and consists of four rings (L,P,S, and M) mounted on a central rod. The rod consists of about 26 subunits of FlgG in the distal portion, and FlgB, FlgC and FlgF are thought to build up the proximal portion of the rod with about 6 subunits each.	SUBCELLULAR LOCATION: Bacterial flagellum basal body.
P0ABX8	17221	b1944 JW1928		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P0AC05	26928	b1948 JW1932		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}. Bacterial flagellum basal body {ECO:0000269|PubMed:15919996}.
P0AC07	9632	b1949 JW1933		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Bacterial flagellum basal body {ECO:0000250}.
P0AC26	28563	b3367 JW3330		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AC35	22679	b3062 JW3034	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000305|PubMed:8371115}.	
P0AC59	24350	b1064 JW1051		
P0AC65	9139	b2673 JW2648		
P0AC92	6576	b4517 JW0976		
P0AC96	46416	b4476 JW5686		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0ACA1	22545	b3592 JW3565		
P0ACB7	45245	b3802 JW3774		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0ACC9	17616	b2058 JW2043		
P0ACD2	19962	b2054 JW2039		
P0ACH8	34928	b4118 JW4079		
P0ACI6	16888	b3743 JW3721		
P0ACJ5	17437	b0447 JW0437		
P0ACK2	29572	b3131 JW3100		
P0ACK5	28548	b0840 JW0824	SUBUNIT: Homooctamer. {ECO:0000305|PubMed:2653814}.	
P0ACK8	27362	b2805 JW2776		
P0ACL0	28048	b3423 JW3386		
P0ACL9	29425	b0113 JW0109		
P0ACN7	37820	b3934 JW3905		
P0ACP5	36422	b3438 JW5946		
P0ACQ7	34539	b3118 JW3089		
P0ACR0	34512	b0504 JW0492		
P0ACS7	32362	b4089 JW4050		
P0ACT2	25198	b3264 JW3232		
P0ACT6	21799	b1618 JW1610		
P0ACX3	11288	b1667 JW1657	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16260765}.	
P0ACX5	7907	b1675 JW1665		
P0ACY1	20059	b1765 JW1754	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18241886}.	
P0ACZ2	16386	b0982 JW5132		
P0AD03	48273	b1833 JW1822	SUBUNIT: May form a complex with YebT. {ECO:0000305|PubMed:27795327}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:27795327}; Multi-pass membrane protein {ECO:0000269|PubMed:27795327}.
P0AD44	27348	b2555 JW2539		
P0ADB4	4359	b4410 JW5737		SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P0ADB7	4810	b4411 JW4108		SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor.
P0ADE8	36094	b2898 JW2866		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0ADH5	22993	b4312 JW4275		
P0ADH7	23116	b4313 JW4276		
P0ADI0	21908	b1374 JW1368		
P0ADN0	55907	b3745 JW5610	SUBUNIT: Possible formation of a ternary complex RavA-ViaA-CadA.	
P0ADN2	13134	b3764 JW3737		
P0ADQ2	37094	b3888 JW3859		
P0ADQ7	11847	b2672 JW2647	SUBUNIT: Upon overexpression binds to ribosomes.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P0ADT5	45026	b3038 JW3006		
P0ADU5	14011	b3024 JW2992		SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.
P0ADW6	34607	b3211 JW3178		
P0ADX9	21678	b3465 JW3430		
P0AE26	34211	b4460 JW1887		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AE30	24914	b0861 JW0845	SUBUNIT: The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI). {ECO:0000305|PubMed:8801422}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AE34	26217	b0862 JW0846	SUBUNIT: The complex is composed of two ATP-binding proteins (ArtP), two transmembrane proteins (ArtM and ArtQ) and two solute-binding proteins (ArtJ and ArtI). {ECO:0000305|PubMed:8801422}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AE37	38456	b1747 JW1736		
P0AE39	28721	b2381 JW2378		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P0AE45	49763	b4218 JW4177		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0AE56	7363	b3337 JW3299	SUBUNIT: Monomer.	
P0AE60	9377	b1731 JW1720	SUBUNIT: In pull-down experiments interacts with aceE, dnaK, glmS, lpp, rplB, rplC, rpoB, ybcJ, zwf. {ECO:0000269|PubMed:28818726}.	
P0AE95	14879	b1039 JW1022		
P0AE98	15056	b1038 JW1021		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:16522795}.
P0AEB0	32538	b2423 JW2416	SUBUNIT: The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP). {ECO:0000305}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AED9	53465	b1961 JW1944		
P0AEH5	11306	b2266 JW2261	SUBUNIT: Upon overexpression binds to ribosomes.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P0AEK0	25133	b1844 JW1833		
P0AEL3	8371	b3408 JW3371	SUBUNIT: Monomer. {ECO:0000269|PubMed:23104801}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:23104801}.
P0AEL6	34283	b0592 JW0584	SUBUNIT: The complex is composed of two ATP-binding proteins (FepC), two transmembrane proteins (FepD and FepG) and a solute-binding protein (FepB). {ECO:0000305|PubMed:1479347}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:10986237, ECO:0000269|PubMed:3011753, ECO:0000305|PubMed:2529253}.
P0AEM4	10341	b1071 JW1058		
P0AEP1	50983	b2943 JW2910		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AEQ3	27190	b0811 JW0796		SUBCELLULAR LOCATION: Periplasm {ECO:0000305|PubMed:3027504}.
P0AEQ6	24364	b0810 JW0795		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AEU3	26870	b2307 JW2304	SUBUNIT: The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT). {ECO:0000250|UniProtKB:P0A2I7}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0AEW1	23361	b2485 JW2470		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:9278503}; Multi-pass membrane protein.
P0AEW4	30938	b3032 JW3000		
P0AEX3	47052	b2587 JW2571		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AEX5	32344	b3355 JW3318		
P0AF01	24939	b0764 JW0747		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AF08	39938	b2113 JW2100	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_02040}.	
P0AF10	21990	b3601 JW3575	SUBUNIT: Homodimer. Can also form higher level multimer aggregates. {ECO:0000269|PubMed:19840941}.	
P0AF20	44541	b0676 JW0662		
P0AF40	13024	b3964 JW3936		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305}.
P0AF63	15593	b4178 JW4136		
P0AF96	16865	b4252 JW5756		
P0AFA5	85319	b0569 JW0558		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AFH2	33443	b1244 JW1236		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AFH6	33022	b1245 JW1237		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AFH8	21074	b4376 JW4338		SUBCELLULAR LOCATION: Periplasm.
P0AFK0	48370	b4235 JW4194		SUBCELLULAR LOCATION: Cytoplasm.
P0AFK2	26996	b0751 JW0734		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15561822}; Multi-pass membrane protein {ECO:0000305|PubMed:15561822, ECO:0000305|PubMed:15919996}.
P0AFM9	8763	b1305 JW1298	SUBUNIT: Interacts with PspA; could bind PspA only in the presence of PspC. {ECO:0000269|PubMed:12562786}.	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein.
P0AFQ7	29809	b1100 JW1086		
P0AFR7	33225	b1311 JW1304		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AFS1	34456	b1515 JW1508	SUBUNIT: The complex is composed of two ATP-binding proteins (LsrA), two transmembrane proteins (LsrC and LsrD) and a solute-binding protein (LsrB). {ECO:0000305}.	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AFU0	40360	b2178 JW2166		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0AFV2	23213	b3508 JW5670		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
